ticket_index,group_id,group_size,similarity_type,representative_desc,original_desc,normalized_desc
2786,0,3,fuzzy,till2- printer failed to initialize,till2- printer failed to initialize,[CODE]- [NAME] [NAME]
2802,0,3,fuzzy,till2- printer failed to initialize,till1- printer failed to initialize,[CODE]- [NAME] [NAME]
4848,0,3,fuzzy,till2- printer failed to initialize,till3- printer failed to initialize,[CODE]- [NAME] [NAME]
2228,0,2,fuzzy,"till2- unable to open till function, printer failed to initialize","till2- unable to open till function, printer failed to initialize","[CODE]- [NAME] [NAME] function, [NAME] [NAME]"
6501,0,2,fuzzy,"till2- unable to open till function, printer failed to initialize","till2- unable to launch till function, printer failed to initialize","[CODE]- [NAME] [NAME] function, [NAME] [NAME]"
2785,0,3,fuzzy,till1-printer failed to initialize,till1-printer failed to initialize,[CODE]-[NAME] [NAME]
3373,0,3,fuzzy,till1-printer failed to initialize,till2-printer failed to initialize,[CODE]-[NAME] [NAME]
4704,0,3,fuzzy,till1-printer failed to initialize,till2-printer failed to initialize,[CODE]-[NAME] [NAME]
1412,0,2,fuzzy,till2-unable to take card payments.,till2-unable to take card payments.,[CODE]-[NAME] [NAME] payments.
6540,0,2,fuzzy,till2-unable to take card payments.,till1-unable to take card payments.,[CODE]-[NAME] [NAME] payments.
414,0,2,fuzzy,till 3,till 3,[ITEM_NUM]
1445,0,2,fuzzy,till 3,till 3,[ITEM_NUM]
6523,1,2,fuzzy,till 2,till 2,[ITEM_NUM]
6556,1,2,fuzzy,till 2,till 2,[ITEM_NUM]
266,0,2,fuzzy,till 2 - no power,till 2 - no power,[ITEM_NUM] - [NAME]
5391,0,2,fuzzy,till 2 - no power,till 3 - no power,[ITEM_NUM] - [NAME]
548,1,11,fuzzy,till 1 - ped issue,till 1 - ped issue,[ITEM_NUM] - [NAME]
1484,1,11,fuzzy,till 1 - ped issue,till 2 - ped issue,[ITEM_NUM] - [NAME]
1560,1,11,fuzzy,till 1 - ped issue,till 2 - ped issue,[ITEM_NUM] - [NAME]
2632,1,11,fuzzy,till 1 - ped issue,till 2 - ped issue,[ITEM_NUM] - [NAME]
2806,1,11,fuzzy,till 1 - ped issue,till 2 - ped issue,[ITEM_NUM] - [NAME]
2812,1,11,fuzzy,till 1 - ped issue,till 2 - ped issue,[ITEM_NUM] - [NAME]
2832,1,11,fuzzy,till 1 - ped issue,till 2 - ped issue,[ITEM_NUM] - [NAME]
4512,1,11,fuzzy,till 1 - ped issue,till 3 - ped issue,[ITEM_NUM] - [NAME]
4862,1,11,fuzzy,till 1 - ped issue,till 1 - ped issue,[ITEM_NUM] - [NAME]
6539,1,11,fuzzy,till 1 - ped issue,till 2 - ped issue,[ITEM_NUM] - [NAME]
6792,1,11,fuzzy,till 1 - ped issue,till 3 - ped issue,[ITEM_NUM] - [NAME]
810,2,2,fuzzy,till 2 - scanner faulty,till 2 - scanner faulty,[ITEM_NUM] - [NAME]
1485,2,2,fuzzy,till 2 - scanner faulty,till 1 - scanner faulty,[ITEM_NUM] - [NAME]
1195,3,2,fuzzy,till 3 - printer issue,till 3 - printer issue,[ITEM_NUM] - [NAME]
4683,3,2,fuzzy,till 3 - printer issue,till 1 - printer issues,[ITEM_NUM] - [NAME]
1205,4,4,fuzzy,till 2 - runtime error,till 2 - runtime error,[ITEM_NUM] - [NAME]
2974,4,4,fuzzy,till 2 - runtime error,till 2 - runtime error,[ITEM_NUM] - [NAME]
3970,4,4,fuzzy,till 2 - runtime error,till 3 - runtime error,[ITEM_NUM] - [NAME]
5750,4,4,fuzzy,till 2 - runtime error,till 1 - runtime error,[ITEM_NUM] - [NAME]
1233,5,6,fuzzy,till 2 - signing out,till 2 - signing out,[ITEM_NUM] - [NAME]
2856,5,6,fuzzy,till 2 - signing out,till 2 - signing out,[ITEM_NUM] - [NAME]
3031,5,6,fuzzy,till 2 - signing out,till 3 - signing out,[ITEM_NUM] - [NAME]
3395,5,6,fuzzy,till 2 - signing out,till 3 - signing out,[ITEM_NUM] - [NAME]
4971,5,6,fuzzy,till 2 - signing out,till 3 - signing out,[ITEM_NUM] - [NAME]
6903,5,6,fuzzy,till 2 - signing out,till 1 - signing out,[ITEM_NUM] - [NAME]
1571,6,3,fuzzy,till 2 - printer failed,till 2 - printer failed,[ITEM_NUM] - [NAME]
3765,6,3,fuzzy,till 2 - printer failed,till 2 - printer failed,[ITEM_NUM] - [NAME]
6839,6,3,fuzzy,till 2 - printer failed,till 2 - printer failure,[ITEM_NUM] - [NAME]
2551,7,3,fuzzy,till 2 - scanner issues,till 2 - scanner issues,[ITEM_NUM] - [NAME]
4405,7,3,fuzzy,till 2 - scanner issues,till 1 - scanner issue,[ITEM_NUM] - [NAME]
4949,7,3,fuzzy,till 2 - scanner issues,till 2 - scanner issue,[ITEM_NUM] - [NAME]
2969,8,5,fuzzy,till 1 - printer error,till 1 - printer error,[ITEM_NUM] - [NAME]
3180,8,5,fuzzy,till 1 - printer error,till 2 - printer error,[ITEM_NUM] - [NAME]
4393,8,5,fuzzy,till 1 - printer error,till 2 - printer error,[ITEM_NUM] - [NAME]
5471,8,5,fuzzy,till 1 - printer error,till 2 - printer error,[ITEM_NUM] - [NAME]
6799,8,5,fuzzy,till 1 - printer error,till 3 - printer error,[ITEM_NUM] - [NAME]
3283,9,4,fuzzy,proj 2 - ped issue,proj 2 - ped issue,[ITEM_NUM] - [NAME]
3530,9,4,fuzzy,proj 2 - ped issue,proj 4 - ped issue,[ITEM_NUM] - [NAME]
4710,9,4,fuzzy,proj 2 - ped issue,proj 2 - ped issue,[ITEM_NUM] - [NAME]
6304,9,4,fuzzy,proj 2 - ped issue,proj 7 - ped issue,[ITEM_NUM] - [NAME]
3343,10,4,fuzzy,till 1 - base unit,till 1 - base unit,[ITEM_NUM] - [NAME]
3805,10,4,fuzzy,till 1 - base unit,till 2 - base unit,[ITEM_NUM] - [NAME]
4582,10,4,fuzzy,till 1 - base unit,till 2 - base unit,[ITEM_NUM] - [NAME]
6145,10,4,fuzzy,till 1 - base unit,till 2 - base unit,[ITEM_NUM] - [NAME]
4646,11,3,fuzzy,refund 1 - signing out,refund 1 - signing out,[ITEM_NUM] - [NAME]
6840,11,3,fuzzy,refund 1 - signing out,refund 1 - sign out,[ITEM_NUM] - [NAME]
6958,11,3,fuzzy,refund 1 - signing out,refund 1 - signing out,[ITEM_NUM] - [NAME]
4811,12,2,fuzzy,project 1 - running slowly,project 1 - running slowly,[ITEM_NUM] - [NAME]
4914,12,2,fuzzy,project 1 - running slowly,project 3 - running slowly,[ITEM_NUM] - [NAME]
107,0,4,fuzzy,till 2 - cashier locked on till,till 2 - cashier locked on till,[ITEM_NUM] - [NAME] [NAME]
184,0,4,fuzzy,till 2 - cashier locked on till,till 2 - cashier locked on till,[ITEM_NUM] - [NAME] [NAME]
3778,0,4,fuzzy,till 2 - cashier locked on till,till 3 - cashier locked onto till,[ITEM_NUM] - [NAME] [NAME]
6077,0,4,fuzzy,till 2 - cashier locked on till,till 3 - cashier locked on till,[ITEM_NUM] - [NAME] [NAME]
1285,1,3,fuzzy,project 2 - fusion failed to lauch,project 2 - fusion failed to lauch,[ITEM_NUM] - [NAME] [NAME]
4633,1,3,fuzzy,project 2 - fusion failed to lauch,proj 2 - fusion failed to launch,[ITEM_NUM] - [NAME] [NAME]
4901,1,3,fuzzy,project 2 - fusion failed to lauch,proj 2 - fusion failing to launch,[ITEM_NUM] - [NAME] [NAME]
1553,2,4,fuzzy,till 2 - failed to initialise printer,till 2 - failed to initialise printer,[ITEM_NUM] - [NAME] [NAME]
3084,2,4,fuzzy,till 2 - failed to initialise printer,till 2 - failed to initialise printer,[ITEM_NUM] - [NAME] [NAME]
4709,2,4,fuzzy,till 2 - failed to initialise printer,till 3 - failed to initialise printer,[ITEM_NUM] - [NAME] [NAME]
5183,2,4,fuzzy,till 2 - failed to initialise printer,till 2 - failed to initialise printer,[ITEM_NUM] - [NAME] [NAME]
1913,3,2,fuzzy,till 1 - failed to initialise error,till 1 - failed to initialise error,[ITEM_NUM] - [NAME] [NAME]
3670,3,2,fuzzy,till 1 - failed to initialise error,till 3 - failed to initialise error,[ITEM_NUM] - [NAME] [NAME]
2602,4,7,fuzzy,till 3 - printer failed to initialize,till 3 - printer failed to initialize,[ITEM_NUM] - [NAME] [NAME]
2687,4,7,fuzzy,till 3 - printer failed to initialize,till 1 - printer failed to initialise,[ITEM_NUM] - [NAME] [NAME]
2823,4,7,fuzzy,till 3 - printer failed to initialize,till 2 - printer failed to initialise,[ITEM_NUM] - [NAME] [NAME]
2842,4,7,fuzzy,till 3 - printer failed to initialize,till 3 - printer failed to initialize,[ITEM_NUM] - [NAME] [NAME]
4607,4,7,fuzzy,till 3 - printer failed to initialize,till 2 - printer failed to initialise,[ITEM_NUM] - [NAME] [NAME]
6794,4,7,fuzzy,till 3 - printer failed to initialize,till 2 - printer failed to initialize,[ITEM_NUM] - [NAME] [NAME]
6798,4,7,fuzzy,till 3 - printer failed to initialize,till 2 - printer failed to initialize,[ITEM_NUM] - [NAME] [NAME]
2610,5,3,fuzzy,till 2 - chip and pin issue,till 2 - chip and pin issue,[ITEM_NUM] - [NAME] [NAME]
5000,5,3,fuzzy,till 2 - chip and pin issue,till 2 - chip and pin issues,[ITEM_NUM] - [NAME] [NAME]
6462,5,3,fuzzy,till 2 - chip and pin issue,till 1 - chip and pin issue,[ITEM_NUM] - [NAME] [NAME]
3353,6,2,fuzzy,till 2 - card machine not working,till 2 - card machine not working,[ITEM_NUM] - [NAME] [NAME]
